"Ach! Hans, Run!"		rg
A Display of My Dark Power		
AEther Adept		u
AEther Barrier		u
AEther Burst		u
AEther Charge		r
AEther Figment		u
AEther Flash		r
AEther Membrane		r
AEther Mutation		ug
AEther Rift		rg
AEther Shockwave		w
AEther Snap		b
AEther Spellbomb		u
AEther Sting		r
AEther Storm		u
AEther Tide		u
AEther Tradewinds		u
AEther Vial		
AEther Web		g
AEtherflame Wall		r
AEtherize		u
AEtherling		u
AEthermage's Touch		wu
AEtherplasm		u
AEthersnipe		u
AEthertow		wu
AWOL		w
Abandon Hope		b
Abandoned Outpost	wubrg	
Abattoir Ghoul		b
Abbey Gargoyles		w
Abbey Griffin		w
Abbey Matron		w
Abduction		u
Abeyance		w
Abhorrent Overlord		b
Abjure		u
Abolish		w
Abomination		b
Aboroth		g
Aboshan's Desire		u
Aboshan, Cephalid Emperor		u
About Face		r
Abrupt Decay		bg
Absolute Grace		w
Absolute Law		w
Absolver Thrull		w
Absorb		wu
Absorb Vis		b
Abu Ja'far		w
Abuna Acolyte		w
Abuna's Chant		w
Abundance		g
Abundant Growth	wubrg	g
Abyssal Gatekeeper		b
Abyssal Horror		b
Abyssal Hunter		b
Abyssal Nightstalker		b
Abyssal Nocturnus		b
Abyssal Persecutor		b
Abyssal Specter		b
Academy Raider		r
Academy Rector		w
Academy Researchers		u
Academy Ruins		u
Academy at Tolaria West		
Accelerate		r
Accelerated Mutation		g
Acceptable Losses		r
Accorder Paladin		w
Accorder's Shield		
Accumulated Knowledge		u
Accursed Centaur		b
Accursed Spirit		b
Acid Rain		u
Acid Web Spider		g
Acidic Dagger		
Acidic Slime		g
Acidic Sliver		br
Acidic Soil		r
Acolyte of Xathrid		b
Acolyte's Reward		w
Acorn Catapult		
Acorn Harvest		g
Acquire		u
Acridian		g
Act of Aggression		r
Act of Authority		w
Act of Treason		r
Active Volcano		r
Ad Nauseam		b
Adamaro, First to Desire		r
Adaptive Automaton		
Adaptive Snapjaw		g
Adarkar Sentinel		
Adarkar Unicorn	u	w
Adarkar Valkyrie		w
Adarkar Wastes	wu	
Adarkar Windform		u
Adder-Staff Boggart		r
Addle		b
Admonition Angel		w
Adun Oakenshield		brg
Advance Scout		w
Advanced Hoverguard		u
Advent of the Wurm		wg
Adventurers' Guildhouse		
Adventuring Gear		
Advice from the Fae		u
Advocate of the Beast		g
Aegis Angel		w
Aegis of Honor		w
Aegis of the Gods		w
Aegis of the Meek		
Aeolipile		
Aeon Chronicler		u
Aerial Caravan		u
Aerial Formation		u
Aerial Maneuver		w
Aerial Predation		g
Aerie Mystics		wug
Aerie Ouphes		g
Aerie Worshippers		u
Aesthetic Consultation		b
Aesthir Glider		
Affa Guard Hound		w
Afflict		b
Afflicted Deserter		r
Afiya Grove		g
Afterlife		w
Aftershock		r
Agadeem Occultist		b
Ageless Entity		g
Ageless Sentinels		w
Agent of Erebos		b
Agent of Horizons		ug
Agent of Masks		wb
Agent of Shauku		b
Agent of Stromgald	b	r
Agent of the Fates		b
Aggravate		r
Aggravated Assault		r
Aggression		r
Aggressive Urge		g
Agility		r
Agonizing Demise		br
Agonizing Memories		b
Agony Warp		ub
Agoraphobia		u
Agrus Kos, Wojek Veteran		wr
Agyrem		
Air Bladder		u
Air Elemental		u
Air Servant		u
Airborne Aid		u
Airdrop Condor		r
Aisling Leprechaun		g
Ajani Goldmane		w
Ajani Vengeant		wr
Ajani's Chosen		w
Ajani's Mantra		w
Ajani's Presence		w
Ajani's Pridemate		w
Ajani's Sunstriker		w
Ajani, Caller of the Pride		w
Ajani, Mentor of Heroes		wg
Akki Avalanchers		r
Akki Blizzard-Herder		r
Akki Coalflinger		r
Akki Drillmaster		r
Akki Lavarunner		r
Akki Raider		r
Akki Rockspeaker	r	r
Akki Underling		r
Akki Underminer		r
Akoum		
Akoum Battlesinger		r
Akoum Boulderfoot		r
Akoum Refuge	br	
Akrasan Squire		w
Akroan Conscriptor		r
Akroan Crusader		r
Akroan Hoplite		wr
Akroan Horse		
Akroan Line Breaker		r
Akroan Mastiff		w
Akroan Phalanx		wr
Akroan Skyguard		w
Akroma's Blessing		w
Akroma's Devoted		w
Akroma's Memorial		
Akroma's Vengeance		w
Akroma, Angel of Fury		r
Akroma, Angel of Wrath		w
Akroma, Angel of Wrath Avatar		
Akron Legionnaire		w
Aku Djinn		b
Akuta, Born of Ash		b
Al-abara's Carpet		
Alabaster Dragon		w
Alabaster Leech		w
Alabaster Mage		w
Alabaster Potion		w
Alabaster Wall		w
Alaborn Cavalier		w
Alaborn Grenadier		w
Alaborn Musketeer		w
Alaborn Trooper		w
Alaborn Veteran		w
Alaborn Zealot		w
Aladdin		r
Aladdin's Lamp		
Aladdin's Ring		
Alarum		w
Albino Troll		g
Alchemist's Apprentice		u
Alchemist's Refuge		ug
Alchor's Tomb		
Aleatory		r
Alert Shu Infantry		w
Alexi's Cloak		u
Alexi, Zephyr Mage		u
Algae Gharial		g
Ali Baba		r
Ali from Cairo		r
Aliban's Tower		r
Alive // Well		g
All Hallow's Eve		b
All Is Dust		
All Shall Smolder in My Wake		
All Suns' Dawn		g
All in Good Time		
Allay		w
Alley Grifters		b
Alliance of Arms		w
Allied Strategies		u
Allosaurus Rider		g
Alloy Golem		
Alloy Myr	wubrg	
Alluring Scent		g
Alluring Siren		u
Alms		w
Alms Beast		wb
Alpha Authority		g
Alpha Brawl		r
Alpha Kavu		g
Alpha Myr		
Alpha Status		g
Alpha Tyrranax		g
Altar Golem		
Altar Of Dementia		
Altar of Bone		wg
Altar of Shadows	b	
Altar of the Lost	wubrg	
Altar's Light		w
Altar's Reap		b
Alter Reality		u
Aluren		g
Amass the Components		u
Ambassador Laquatus		u
Ambassador Oak		g
Amber Prison		
Ambiguity		u
Ambition's Cost		b
Ambush		r
Ambush Commander		g
Ambush Party		r
Ambush Viper		g
Amnesia		u
Amoeboid Changeling		u
Amok		r
Amphibious Kavu		g
Amphin Cutthroat		u
Amrou Kithkin		w
Amrou Scout		w
Amrou Seekers		w
Amugaba		u
Amulet of Kroog		
Amulet of Quoz		
Amulet of Unmaking		
Amulet of Vigor		
An-Havva Constable		g
An-Havva Inn		g
An-Havva Township	wrg	
An-Zerrin Ruins		r
Ana Battlemage		ubg
Ana Disciple		ubg
Ana Sanctuary		g
Anaba Ancestor		r
Anaba Bodyguard		r
