AErathi Berserker	LEG:131
Abandon Hope	TMP:1
Abandon Reason	EMN:115
Abandoned Outpost	ODY:312
Abandoned Sarcophagus	HOU:158
Abattoir Ghoul	ISD:85
Abbey Gargoyles	ME2:1
Abbey Griffin	ISD:1
Abbey Matron	HML:103
Abbot of Keral Keep	PPRE:198
Abduction	WTH:30
Aberrant Researcher	SOI:49
Aberrant Researcher // Perfected Form	SOI:49
Abeyance	WTH:117
Abhorrent Overlord	THS:75
Abjure	WTH:31
Abnormal Endurance	M19:85
Abolish	PCY:1
Abolisher of Bloodlines	EMN:111
Abominable Treefolk	MH1:194
Abomination	LEG:1
Abomination of Gudul	KTK:159
Aboroth	WTH:59
Aboshan's Desire	ODY:59
Aboshan, Cephalid Emperor	ODY:58
About Face	ULG:73
Abrade	MGDC:62
Abrupt Decay	RTR:141
Absolute Grace	USG:1
Absolute Law	USG:2
Absolver Thrull	GPT:1
Absorb	RNA:151
Absorb Vis	MMA:71
Abstruse Interference	OGW:40
Abu Ja'far	CHR:57
Abuna Acolyte	SOM:1
Abuna's Chant	5DN:1
Abundance	USG:229
Abundant Growth	EMA:156
Abundant Maw	EMN:1
Abyssal Gatekeeper	WTH:1
Abyssal Horror	USG:115
Abyssal Hunter	MIR:1
Abyssal Nightstalker	P02:1
Abyssal Nocturnus	GPT:43
Abyssal Persecutor	WWK:47
Abyssal Specter	MM3:59
Abzan Advantage	FRF:2
Abzan Ascendancy	PPRE:88
Abzan Banner	KTK:215
Abzan Battle Priest	KTK:1
Abzan Beastmaster	FRF:119
Abzan Charm	KTK:161
Abzan Falconer	KTK:2
Abzan Guide	KTK:162
Abzan Kin-Guard	FRF:120
Abzan Runemark	FRF:3
Abzan Skycaptain	FRF:4
Academy Drake	DOM:40
Academy Elite	VMA:55
Academy Journeymage	DOM:41
Academy Raider	M14:124
Academy Rector	UDS:1
Academy Researchers	USG:58
Academy Ruins	TSP:269
Accelerate	TOR:90
Accelerated Mutation	SCG:109
Acceptable Losses	ODY:172
Acclaimed Contender	ELD:334
Accomplished Automaton	KLD:191
Accorder Paladin	MBS:1
Accorder's Shield	SOM:136
Accumulated Knowledge	NEM:26
Accursed Centaur	ONS:123
Accursed Horde	HOU:56
Accursed Spirit	M15:85
Accursed Witch	SOI:97
Accursed Witch // Infectious Curse	SOI:97
Acid Rain	ME4:36
Acid Web Spider	SOM:108
Acid-Spewer Dragon	DTK:86
Acidic Dagger	MIR:256
Acidic Slime	M13:159
Acidic Sliver	TPR:206
Acidic Soil	USG:172
Acolyte of Affliction	THB:206
Acolyte of Xathrid	M10:83
Acolyte of the Inferno	ORI:128
Acolyte's Reward	BNG:1
Acorn Catapult	CMD:241
Acorn Harvest	TOR:118
Acquire	MBP:83
Acquisitions Expert	ZNR:89
Acridian	USG:230
Acrobatic Maneuver	KLD:1
Act of Aggression	NPH:78
Act of Authority	C13:1
Act of Heroism	HOU:1
Act of Treason	RNA:91
Act on Impulse	M15:126
Active Volcano	ME3:85
Ad Nauseam	ALA:63
Adamant Will	DOM:2
Adamaro, First to Desire	SOK:91
Adanto Vanguard	XLN:1
Adanto, the First Fort	XLN:22
Adanto, the First Fort // Legion's Landing	XLN:22
Adaptive Automaton	M12:201
Adaptive Shimmerer	IKO:1
Adaptive Snapjaw	GTC:113
Adarkar Sentinel	ME2:201
Adarkar Unicorn	ICE:225
Adarkar Valkyrie	MMA:1
Adarkar Wastes	ICE:326
Adarkar Windform	CSP:26
Adder-Staff Boggart	LRW:148
Addle	VMA:103
Adeliz, the Cinder Wind	DOM:190
Adherent of Hope	M21:321
Admiral Beckett Brass	XLN:217
Admiral's Order	RIX:31
Admonition Angel	WWK:1
Adorned Pouncer	MGDC:61
Adriana's Valor	CN2:1
Adriana, Captain of the Guard	CN2:73
Adun Oakenshield	MED:141
Advance Scout	TMP:213
Advanced Hoverguard	5DN:22
Advanced Stitchwing	EMN:49
Advantageous Proclamation	CNS:1
